/proc/oppoVersion/prjVersion,/proc/oppoVersion/operatorName,project
17197,2,17198
17197,5,17197
17331,5,17335
17331,6,17332
17331,8,17331
17197,9,17199
17331,13,17331
17331,14,17337
17331,15,17338
17331,16,17340
17331,17,17339
17061,20,17061
17061,21,17062
17061,22,17063
17175,23,17175
17175,24,17176
17175,25,17179
17175,26,17180
17331,27,17341
17175,28,17171
17175,29,17172
17175,30,17173
17061,31,17065
17061,32,17067
17061,33,17066
18311,37,18311
18311,47,18311
18311,38,18312
18311,39,18313
18311,42,18317
18311,43,18312
18311,46,18328
18011,40,18011
18011,41,18012
18011,44,18012
18011,48,18012
18011,49,18013
18011,50,18015
17061,51,17065Realme
17061,52,17066Realme
18611,53,18611
18611,54,18612
18611,55,18613
18531,56,18531
18531,57,18533
18531,58,18532
18151,59,18151
18151,60,18153
18151,61,18551
18561,64,18561
18561,63,18562
18561,62,18563
18531,68,18521
18531,67,18522
18531,69,18523
18161,66,18161
18161,65,18162
18561,66,18163
18561,65,18165
18073,71,18073
18073,70,18075
18073,72,18593
18531,73,18525
18561,74,18566
18561,75,18567
18561,76,18568
18561,77,18569
19011,82,19011
19011,83,19012
19011,80,19301
19011,81,19305
19531,86,19531
19531,87,19532
19531,88,19533
19181,92,19181
19181,93,19181
19581,94,19581
19581,95,19580
19581,96,19582
19581,97,19584
19581,98,19585
19581,99,19586
19581,100,19587
19581,101,19589
19181,102,19181
19581,103,19580
19581,104,19581
19581,105,19581
19581,106,19580
19181,107,19181
